entity_id,n_records,record_ids,mean_link_confidence,issues,flagged
0,4,"['nypl_1851_1852_doggetts_007148', 'nypl_1851_1852_doggetts_007280', 'nypl_1851_1852_doggetts_007282', 'nypl_1851_1852_doggetts_007283']",,['multi_match'],True
1,6,"['nypl_1851_1852_doggetts_001050', 'nypl_1851_1852_doggetts_001481', 'nypl_1851_1852_doggetts_001483', 'nypl_1851_1852_doggetts_001484', 'nypl_1851_1852_doggetts_006591', 'nypl_1851_1852_doggetts_006592']",,['multi_match'],True
2,2,"['nypl_1851_1852_doggetts_002787', 'nypl_1851_1852_doggetts_003099']",,[],False
3,2,"['nypl_1851_1852_doggetts_005353', 'nypl_1851_1852_doggetts_005355']",,[],False
4,4,"['nypl_1851_1852_doggetts_003027', 'nypl_1851_1852_doggetts_003028', 'nypl_1851_1852_doggetts_003029', 'nypl_1851_1852_doggetts_003309']",,['multi_match'],True
5,2,"['nypl_1851_1852_doggetts_000574', 'nypl_1851_1852_doggetts_006956']",,[],False
6,2,"['nypl_1851_1852_doggetts_002820', 'nypl_1851_1852_doggetts_002824']",,[],False
7,4,"['nypl_1851_1852_doggetts_006835', 'nypl_1851_1852_doggetts_006837', 'nypl_1851_1852_doggetts_006838', 'nypl_1851_1852_doggetts_006839']",,['multi_match'],True
8,2,"['nypl_1851_1852_doggetts_007848', 'nypl_1851_1852_doggetts_007851']",,[],False
9,5,"['nypl_1851_1852_doggetts_001700', 'nypl_1851_1852_doggetts_001701', 'nypl_1851_1852_doggetts_001706', 'nypl_1851_1852_doggetts_001707', 'nypl_1851_1852_doggetts_001708']",,['multi_match'],True
10,2,"['nypl_1851_1852_doggetts_002447', 'nypl_1851_1852_doggetts_004939']",,[],False
11,2,"['nypl_1851_1852_doggetts_003432', 'nypl_1851_1852_doggetts_004201']",,[],False
12,2,"['nypl_1851_1852_doggetts_006549', 'nypl_1851_1852_doggetts_006550']",,[],False
13,2,"['nypl_1851_1852_doggetts_000786', 'nypl_1851_1852_doggetts_000787']",,[],False
14,2,"['nypl_1851_1852_doggetts_002417', 'nypl_1851_1852_doggetts_002418']",,[],False
15,2,"['nypl_1851_1852_doggetts_002915', 'nypl_1851_1852_doggetts_003120']",,[],False
16,2,"['nypl_1851_1852_doggetts_005058', 'nypl_1851_1852_doggetts_005059']",,[],False
17,2,"['nypl_1851_1852_doggetts_002830', 'nypl_1851_1852_doggetts_002831']",,[],False
18,2,"['nypl_1851_1852_doggetts_000391', 'nypl_1851_1852_doggetts_003896']",,[],False
19,4,"['nypl_1851_1852_doggetts_004607', 'nypl_1851_1852_doggetts_004626', 'nypl_1851_1852_doggetts_004655', 'nypl_1851_1852_doggetts_004656']",,['multi_match'],True
20,6,"['nypl_1851_1852_doggetts_007265', 'nypl_1851_1852_doggetts_007271', 'nypl_1851_1852_doggetts_007272', 'nypl_1851_1852_doggetts_007273', 'nypl_1851_1852_doggetts_007274', 'nypl_1851_1852_doggetts_007277']",,['multi_match'],True
21,2,"['nypl_1851_1852_doggetts_000126', 'nypl_1851_1852_doggetts_000128']",,[],False
22,2,"['nypl_1851_1852_doggetts_000384', 'nypl_1851_1852_doggetts_005202']",,[],False
23,2,"['nypl_1851_1852_doggetts_001705', 'nypl_1851_1852_doggetts_002246']",,[],False
24,2,"['nypl_1851_1852_doggetts_004755', 'nypl_1851_1852_doggetts_004866']",,[],False
