entity_id,n_records,record_ids,mean_link_confidence,issues,flagged
0,8,"['nypl_1851_1852_doggetts_002818', 'nypl_1851_1852_doggetts_002819', 'nypl_1851_1852_doggetts_002820', 'nypl_1851_1852_doggetts_002822', 'nypl_1851_1852_doggetts_002824', 'nypl_1851_1852_doggetts_002825', 'nypl_1851_1852_doggetts_003104', 'nypl_1851_1852_doggetts_003181']",0.674375,"['multi_match', 'conflicting_occupation']",True
1,2,"['nypl_1851_1852_doggetts_001254', 'nypl_1851_1852_doggetts_001258']",0.54,[],False
2,2,"['nypl_1851_1852_doggetts_004283', 'nypl_1851_1852_doggetts_004284']",0.525,['conflicting_occupation'],True
3,10,"['nypl_1851_1852_doggetts_007148', 'nypl_1851_1852_doggetts_007180', 'nypl_1851_1852_doggetts_007265', 'nypl_1851_1852_doggetts_007271', 'nypl_1851_1852_doggetts_007272', 'nypl_1851_1852_doggetts_007273', 'nypl_1851_1852_doggetts_007274', 'nypl_1851_1852_doggetts_007280', 'nypl_1851_1852_doggetts_007282', 'nypl_1851_1852_doggetts_007283']",0.5413333333333334,['multi_match'],True
4,12,"['nypl_1851_1852_doggetts_001008', 'nypl_1851_1852_doggetts_001022', 'nypl_1851_1852_doggetts_001347', 'nypl_1851_1852_doggetts_001352', 'nypl_1851_1852_doggetts_001354', 'nypl_1851_1852_doggetts_001356', 'nypl_1851_1852_doggetts_001357', 'nypl_1851_1852_doggetts_005607', 'nypl_1851_1852_doggetts_006173', 'nypl_1851_1852_doggetts_006927', 'nypl_1851_1852_doggetts_006935', 'nypl_1851_1852_doggetts_006936']",0.5379166666666667,['multi_match'],True
5,2,"['nypl_1851_1852_doggetts_000754', 'nypl_1851_1852_doggetts_000774']",0.52,[],False
6,4,"['nypl_1851_1852_doggetts_006037', 'nypl_1851_1852_doggetts_006043', 'nypl_1851_1852_doggetts_006044', 'nypl_1851_1852_doggetts_006046']",0.5333333333333333,['multi_match'],True
7,2,"['nypl_1851_1852_doggetts_000430', 'nypl_1851_1852_doggetts_003759']",0.54,[],False
8,3,"['nypl_1851_1852_doggetts_005482', 'nypl_1851_1852_doggetts_005489', 'nypl_1851_1852_doggetts_005557']",0.71,['multi_match'],True
9,3,"['nypl_1851_1852_doggetts_000554', 'nypl_1851_1852_doggetts_003407', 'nypl_1851_1852_doggetts_003978']",0.52,['multi_match'],True
10,5,"['nypl_1851_1852_doggetts_002958', 'nypl_1851_1852_doggetts_002962', 'nypl_1851_1852_doggetts_002966', 'nypl_1851_1852_doggetts_002970', 'nypl_1851_1852_doggetts_003135']",0.525,"['multi_match', 'conflicting_occupation']",True
